[06/Feb/2026:04:01:35 +0000] GET /api/company/messages/inbox?page=1&limit=10&search= 200 372.738 ms - company - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:01:35 +0000] GET /api/company/messages/inbox?page=1&limit=10&search= 304 424.503 ms - company - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:01:38 +0000] GET /api/company/messages/sales-managers 200 79.336 ms - company - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:02:03 +0000] GET /api/csrf-token 304 0.807 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:02:03 +0000] POST /api/company/messages/send 200 125.592 ms - company - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:02:06 +0000] GET /api/company/messages/sent?page=1&limit=10&search= 200 278.998 ms - company - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:03:13 +0000] POST /api/auth/login 200 165.230 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:03:13 +0000] GET /api/owner/analytics/data 200 174.181 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:03:13 +0000] GET /api/owner/analytics/data 304 172.722 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:03:20 +0000] GET /api/owner/messages/inbox?page=1&limit=10&search= 200 719.064 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:03:20 +0000] GET /api/owner/messages/inbox?page=1&limit=10&search= 304 702.662 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:03:28 +0000] GET /api/owner/messages/inbox?page=1&limit=10&search= 304 673.903 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:03:31 +0000] GET /api/owner/messages/options 200 465.834 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:04:03 +0000] GET /api/csrf-token 304 0.865 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:04:03 +0000] POST /api/owner/messages/send 200 277.046 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:04:05 +0000] GET /api/owner/messages/sent?page=1&limit=10&search= 200 570.879 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:04:18 +0000] GET /api/owner/products/accepted 200 58.251 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:04:18 +0000] GET /api/owner/products/accepted 304 72.538 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:06:21 +0000] GET /api/owner/products/PROD-e8693048 200 140.605 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:06:21 +0000] GET /api/owner/products/PROD-e8693048 304 87.417 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:07:07 +0000] GET /api/owner/products/accepted 200 78.755 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:07:07 +0000] GET /api/owner/products/accepted 304 51.746 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:07:12 +0000] GET /api/owner/products/new 200 84.643 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:07:12 +0000] GET /api/owner/products/new 304 117.491 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:07:14 +0000] GET /api/owner/products/PROD-c73f6d3c 200 165.216 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:07:14 +0000] GET /api/owner/products/PROD-c73f6d3c 304 146.866 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:07:36 +0000] GET /api/owner/products/accepted 304 84.766 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:07:37 +0000] GET /api/owner/products/accepted 304 96.875 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:07:38 +0000] GET /api/owner/products/new 200 153.778 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:07:38 +0000] GET /api/owner/products/new 304 92.477 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:07:40 +0000] GET /api/owner/products/rejected 200 123.428 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:07:40 +0000] GET /api/owner/products/rejected 304 106.591 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:07:42 +0000] GET /api/owner/products/PROD-0ec1fd82 200 168.201 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:07:42 +0000] GET /api/owner/products/PROD-0ec1fd82 304 51.073 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[06/Feb/2026:04:08:06 +0000] GET /api/owner/products/accepted 304 79.660 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
