[08/Feb/2026:11:16:22 +0000] GET /api/owner/salaries/branches 304 492.158 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:16:22 +0000] GET /api/companies 304 320.239 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:16:22 +0000] GET /api/owner/salaries/branches 304 189.267 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:16:22 +0000] GET /api/owner/profits?monthYear=Jan-2026 304 1584.751 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:16:24 +0000] GET /api/owner/analytics/data 304 1143.986 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:16:25 +0000] GET /api/owner/analytics/data 304 530.394 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:16:25 +0000] GET /api/owner/orders/branches 304 467.097 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:16:25 +0000] GET /api/owner/orders 304 518.695 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:16:25 +0000] GET /api/owner/messages/inbox?page=1&limit=10&search= 304 6599.029 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:16:25 +0000] GET /api/owner/orders/branches 304 184.763 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:16:25 +0000] GET /api/owner/orders 304 176.662 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:16:26 +0000] GET /api/owner/products/accepted 304 989.802 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:16:27 +0000] GET /api/owner/salaries?monthYear=Jan-2026 304 6330.118 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:16:28 +0000] GET /api/owner/products/accepted 304 1563.586 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:16:28 +0000] GET /api/owner/messages/inbox?page=1&limit=10&search= 304 3544.752 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:16:32 +0000] GET /api/owner/analytics/data 304 964.297 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:16:32 +0000] GET /api/owner/analytics/data 304 130.207 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:17:00 +0000] GET /api/owner/orders/branches 304 1120.755 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:17:00 +0000] GET /api/owner/orders 304 1120.823 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:17:01 +0000] GET /api/owner/orders 304 1564.110 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:17:01 +0000] GET /api/owner/orders/branches 304 1571.825 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:17:07 +0000] GET /api/owner/products/accepted 304 568.323 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:17:07 +0000] GET /api/owner/products/accepted 304 361.186 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:17:09 +0000] GET /api/owner/products/new 304 276.669 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[08/Feb/2026:11:17:10 +0000] GET /api/owner/products/new 304 343.426 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
